Fecha recibo|Nro de recibo|Importe|Razón Social|CUIT|Fecha Factura|Nro de factura|Monto de factura|Medio de pago|Nro del MP|Fecha pago|Importe del MP|Id Subasta  
||1337050.00|||A0002-00000647|08-11-2023|1337050.00|DEPOSITOS|123-009694/0|2023-11-13|1337050.00|171  
||314600.00|||A0002-00000646|08-11-2023|314600.00|DEPOSITOS|123-009694/0|2023-11-09|314600.00|171  
||139755.00|||A0002-00000664|09-11-2023|139755.00|DEPOSITOS|123-007383/3|2023-10-12|45000.00|148  
||139755.00|||A0002-00000664|09-11-2023|139755.00|DEPOSITOS|123-007383/3|2023-11-15|94755.00|148  
||880880.00|||A0002-00000661|09-11-2023|880880.00|DEPOSITOS|123-009694/0|2023-11-14|880880.00|175  
||61347.00|||B0002-00000045|09-11-2023|61347.00|DEPOSITOS|123-009694/0|2023-11-09|61347.00|175  
||2674100.00|||A0002-00000668|10-11-2023|2674100.00|DEPOSITOS|123-009694/0|2023-11-13|2674100.00|72  
||4089800.00|||A0002-00000672|10-11-2023|4089800.00|DEPOSITOS|123-009694/0|2023-11-13|1343827.22|72  
||4089800.00|||A0002-00000672|10-11-2023|4089800.00|CHEQUES DE TERCEROS|00003734|2023-11-08|2745972.78|72  
||220220.00|||A0002-00000674|10-11-2023|220220.00|DEPOSITOS|123-009694/0|2023-11-17|220220.00|145  
||786500.00|||A0002-00000690|14-11-2023|786500.00|CHEQUES DE TERCEROS|00001719|2023-11-03|750000.00|145  
||786500.00|||A0002-00000690|14-11-2023|786500.00|DEPOSITOS|123-009694/0|2023-11-14|36500.00|145  
||341825.00|||A0002-00000737|16-11-2023|341825.00|DEPOSITOS|123-009694/0|2023-11-07|30000.00|177  
||341825.00|||A0002-00000737|16-11-2023|341825.00|DEPOSITOS|123-009694/0|2023-11-22|311825.00|177  
||487630.00|||A0002-00000688|14-11-2023|487630.00|DEPOSITOS|123-009694/0|2023-11-17|487630.00|170  
||114950.00|||B0002-00000047|15-11-2023|114950.00|DEPOSITOS|123-009694/0|2023-11-22|114950.00|189  
||1258400.00|||A0002-00000699|15-11-2023|1258400.00|CHEQUES DE TERCEROS|00000348|2023-11-11|750000.00|196  
